SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
ASHOKLEY,NSE:ASHOKLEY,Ashok Leyland Limited,158.88,149.67,162,149.5,148.95,9.93,6.67,13316653,162,95.93,93821.76608,
ASIANENE,NSE:ASIANENE,Asian Energy Services Limited,297,300.05,302.9,296,299.2,-2.2,-0.74,106311,418,215,1335.238302,
ASIANHOTNR,NSE:ASIANHOTNR,Asian Hotels (North) Limited,327,323.35,329.4,320.9,323.35,3.65,1.13,8793,419.5,185.65,642.699861,
ASIANPAINT,NSE:ASIANPAINT,Asian Paints Limited,2875.7,2880,2914.5,2871.4,2874,1.7,0.06,1442694,2926.9,2124.75,275867.8481,
ASIANTILES,NSE:ASIANTILES,Asian Granito India Limited,65.24,66.05,66.59,65.24,65.87,-0.63,-0.96,1217578,77.39,39.15,1512.037559,
ASKAUTOLTD,NSE:ASKAUTOLTD,ASK Automotive Limited,494.5,496.95,496.95,486.8,493.5,1,0.2,527857,578.5,333.3,9365.508575,
ASMS,NSE:ASMS,Bartronics India Limited,12.1,12.07,12.23,11.8,12.07,0.03,0.25,111903,24.74,11.61,371.18868,
ASPINWALL,NSE:ASPINWALL,Aspinwall and Company Limited,242.8,245.3,252.95,240.45,245.75,-2.95,-1.2,2194,345.9,220.35,193.1927089,
ASTEC,NSE:ASTEC,Astec LifeSciences Limited,859.1,889.85,908.9,836.7,891.75,-32.65,-3.66,2428658,1254.7,607.05,2134.004914,
ASTERDM,NSE:ASTERDM,Aster DM Healthcare Limited,665.05,665.25,671.2,659,665.45,-0.4,-0.06,611001,732.2,387.1,34317.25772,
ASTRAL,NSE:ASTRAL,Astral Limited,1467,1469.9,1479.1,1460.5,1466,1,0.07,838078,1867,1232.3,39436.51741,
ASTRAMICRO,NSE:ASTRAMICRO,Astra Microwave Products Limited,942.7,953.9,961.5,938.6,945.9,-3.2,-0.34,256217,1195.9,584.2,8845.211867,
ASTRAZEN,NSE:ASTRAZEN,AstraZeneca Pharma India Limited,9015,9035,9094,8951,9042,-27,-0.3,11334,10691,6312.75,22404.63693,
ASTRON,NSE:ASTRON,Astron Paper & Board Mill Limited,7.46,7.27,7.51,7.19,7.16,0.3,4.19,121224,24,6.76,33.1060776,
ATALREAL,NSE:ATALREAL,Atal Realtech Limited,23.65,23.23,23.75,22.95,23.19,0.46,1.98,3639000,25.88,11.15,288.2041486,
ATAM,NSE:ATAM,Atam Valves Limited,86.7,85.19,86.7,82.91,84.1,2.6,3.09,44403,152,76.98,98.7471349,
ATGL,NSE:ATGL,Adani Total Gas Limited,603,606.75,609.95,602.1,605.75,-2.75,-0.45,795935,862,532.6,65544.7734,
ATHERENERG,NSE:ATHERENERG,Ather Energy Limited,709.55,694.95,718,694.95,692.5,17.05,2.46,5092350,790,288.15,26099.58297,
ATL,NSE:ATL,Allcargo Terminals Limited,28,27.94,28.6,26.94,27.32,0.68,2.49,534302,40.29,19.88,832.1768,
ATLANTAA,NSE:ATLANTAA,ATLANTAA LIMITED,44.85,42.75,45,42.75,42.95,1.9,4.42,119671,73.39,27.26,332.3556,
ATLASCYCLE,NSE:ATLASCYCLE,Atlas Cycles (Haryana) Limited,91.72,94.18,95.3,91.5,94.18,-2.46,-2.61,4649,176.39,63,60.0359343,
ATUL,NSE:ATUL,Atul Limited,5925,6004.5,6011,5864.5,5939,-14,-0.24,47341,7788,4752,17296.9473,
ATULAUTO,NSE:ATULAUTO,Atul Auto Limited,470.95,462.7,476,462.7,460.85,10.1,2.19,225286,693.55,412.65,1262.162045,
AUBANK,NSE:AUBANK,AU Small Finance Bank Limited,944.9,953.75,955,938.8,953.75,-8.85,-0.93,2754177,962.65,478.35,70494.6047,
AURIONPRO,NSE:AURIONPRO,Aurionpro Solutions Limited,1090.6,1107.8,1127.2,1080.1,1105.2,-14.6,-1.32,167356,1923.75,1050.8,5990.365829,
AUROPHARMA,NSE:AUROPHARMA,Aurobindo Pharma Limited,1236.1,1227.4,1239,1222.6,1227.4,8.7,0.71,1249539,1356.2,1010,71792.74483,
